,Total Cases
1023,0.0
1074,0.0
1125,0.0
1176,0.0
1227,0.0
1278,0.0
1329,0.0
1380,0.0
1431,0.0
1482,0.0
1533,0.0
1584,0.0
1635,0.0
1686,0.0
1737,0.0
1788,0.0
1839,0.0
1890,0.0
1941,0.0
1992,0.0
2043,0.0
2094,0.0
2145,0.0
2196,0.0
2247,1.0
2298,2.0
2349,0.0
2400,2.0
2451,0.0
2502,4.0
2553,0.0
2604,0.0
2655,2.0
2706,0.0
2757,6.0
2808,2.0
2859,7.0
2910,17.0
2961,18.0
3012,40.0
3063,48.0
3114,82.0
3165,94.0
3216,75.0
3267,107.0
3318,155.0
3369,110.0
3420,146.0
3471,235.0
3522,135.0
3573,125.0
3624,182.0
3675,173.0
3726,249.0
3777,251.0
3828,187.0
3879,119.0
3930,151.0
3981,292.0
4032,93.0
4083,282.0
4134,146.0
4185,162.0
4236,97.0
4287,164.0
4338,272.0
4389,273.0
4440,211.0
4491,210.0
4542,136.0
4593,187.0
4644,208.0
4695,309.0
4746,275.0
4797,237.0
4848,246.0
4899,190.0
4950,232.0
5001,254.0
5052,446.0
5103,313.0
5154,403.0
5205,276.0
5256,279.0
5307,385.0
5358,402.0
5409,238.0
5460,582.0
5511,434.0
5562,158.0
5613,261.0
5664,356.0
5715,440.0
5766,498.0
5817,495.0
5868,463.0
5919,306.0
5970,233.0
6021,396.0
6072,331.0
6123,418.0
6174,292.0
6225,432.0
6276,300.0
6327,221.0
6378,222.0
6429,479.0
6480,502.0
6531,702.0
6582,790.0
6633,864.0
6684,4.0
6735,1126.0
6786,971.0
6837,533.0
6888,1578.0
6939,1120.0
6990,1438.0
7041,788.0
7092,619.0
7143,1556.0
7194,1411.0
7245,1655.0
7296,1540.0
7347,1233.0
7398,1014.0
7449,2392.0
7500,1827.0
7551,2519.0
7602,3245.0
7653,3110.0
7704,2592.0
7755,2196.0
7806,3767.0
7857,1620.0
7908,3057.0
7959,3428.0
8010,3591.0
8061,3858.0
8112,625.0
8163,4672.0
8214,4888.0
8265,3332.0
8316,4433.0
8367,2696.0
8418,3531.0
8469,3357.0
8520,3653.0
8571,3520.0
8622,4057.0
8673,4221.0
8724,3038.0
8775,2537.0
8826,1357.0
8877,4273.0
8928,3257.0
8979,3257.0
9030,3912.0
9081,2742.0
9132,2354.0
9183,1563.0
9234,3492.0
9285,1935.0
9336,2335.0
9387,3349.0
9438,3748.0
9489,1962.0
9540,1822.0
9591,2109.0
9642,2332.0
9693,2532.0
9744,3212.0
9795,2990.0
9846,1467.0
9897,1023.0
9948,1008.0
9999,1696.0
10050,1451.0
10101,1405.0
10152,1053.0
10203,820.0
10254,598.0
10305,1215.0
10356,706.0
10407,1349.0
10458,930.0
10509,933.0
10560,883.0
10611,468.0
10662,912.0
10713,640.0
10764,723.0
10815,618.0
10866,974.0
10917,203.0
10968,311.0
11019,866.0
11070,207.0
11121,680.0
11172,519.0
11223,627.0
11274,376.0
11325,174.0
11376,507.0
11427,519.0
11478,1091.0
11529,727.0
11580,834.0
11631,252.0
11682,189.0
11733,90.0
11784,497.0
11835,452.0
11886,528.0
11937,605.0
11988,386.0
12039,213.0
12090,484.0
12141,695.0
12192,1721.0
12243,1287.0
12294,632.0
12345,471.0
12396,386.0
12447,440.0
12498,442.0
12549,566.0
12600,516.0
12651,455.0
12702,410.0
12753,276.0
12804,677.0
12855,324.0
12906,705.0
12957,551.0
13008,635.0
13059,354.0
13110,318.0
13161,861.0
13212,607.0
13263,862.0
13314,684.0
13365,886.0
13416,605.0
13467,475.0
13518,681.0
13569,904.0
13620,1075.0
13671,724.0
13722,972.0
13773,741.0
13824,716.0
13875,1074.0
